,index,county_state,Census,Estimates Base,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,county,state,inplace
0,4,"Autauga County, Alabama",54571,54597,54773,55227.0,54954.0,54727.0,54893.0,54864.0,55243.0,55390.0,55533.0,55869.0,Autauga,Alabama,True
1,5,"Baldwin County, Alabama",182265,182265,183112,186558.0,190145.0,194885.0,199183.0,202939.0,207601.0,212521.0,217855.0,223234.0,Baldwin,Alabama,True
2,6,"Barbour County, Alabama",27457,27455,27327,27341.0,27169.0,26937.0,26755.0,26283.0,25806.0,25157.0,24872.0,24686.0,Barbour,Alabama,True
3,7,"Bibb County, Alabama",22915,22915,22870,22745.0,22667.0,22521.0,22553.0,22566.0,22586.0,22550.0,22367.0,22394.0,Bibb,Alabama,True
4,8,"Blount County, Alabama",57322,57322,57376,57560.0,57580.0,57619.0,57526.0,57526.0,57494.0,57787.0,57771.0,57826.0,Blount,Alabama,True
5,9,"Bullock County, Alabama",10914,10911,10876,10675.0,10606.0,10549.0,10663.0,10400.0,10389.0,10176.0,10174.0,10101.0,Bullock,Alabama,True
6,10,"Butler County, Alabama",20947,20940,20932,20866.0,20670.0,20356.0,20327.0,20162.0,20012.0,19888.0,19631.0,19448.0,Butler,Alabama,True
7,11,"Calhoun County, Alabama",118572,118526,118408,117744.0,117190.0,116471.0,115917.0,115469.0,114973.0,114710.0,114331.0,113605.0,Calhoun,Alabama,True
8,12,"Chambers County, Alabama",34215,34169,34122,34033.0,34104.0,34139.0,33977.0,33996.0,33745.0,33707.0,33600.0,33254.0,Chambers,Alabama,True
9,13,"Cherokee County, Alabama",25989,25979,25963,25989.0,25958.0,26017.0,25895.0,25732.0,25768.0,25805.0,26014.0,26196.0,Cherokee,Alabama,True
10,14,"Chilton County, Alabama",43643,43632,43653,43689.0,43582.0,43628.0,43760.0,43700.0,43866.0,44120.0,44163.0,44428.0,Chilton,Alabama,True
11,15,"Choctaw County, Alabama",13859,13858,13849,13609.0,13563.0,13397.0,13317.0,13231.0,13045.0,12925.0,12833.0,12589.0,Choctaw,Alabama,True
12,16,"Clarke County, Alabama",25833,25833,25766,25587.0,25155.0,25123.0,24864.0,24698.0,24340.0,24063.0,23918.0,23622.0,Clarke,Alabama,True
13,17,"Clay County, Alabama",13932,13930,13898,13687.0,13434.0,13404.0,13441.0,13415.0,13393.0,13350.0,13294.0,13235.0,Clay,Alabama,True
14,18,"Cleburne County, Alabama",14972,14972,15004,14928.0,14889.0,14976.0,15026.0,14914.0,14848.0,14899.0,15010.0,14910.0,Cleburne,Alabama,True
15,19,"Coffee County, Alabama",49948,49955,50208,50444.0,51141.0,50681.0,50657.0,50963.0,51202.0,51853.0,51950.0,52342.0,Coffee,Alabama,True
16,20,"Colbert County, Alabama",54428,54428,54524,54539.0,54570.0,54529.0,54462.0,54417.0,54497.0,54695.0,55004.0,55241.0,Colbert,Alabama,True
17,21,"Conecuh County, Alabama",13228,13236,13236,13195.0,13046.0,12912.0,12677.0,12678.0,12500.0,12431.0,12292.0,12067.0,Conecuh,Alabama,True
18,22,"Coosa County, Alabama",11539,11756,11780,11486.0,11346.0,11254.0,11037.0,10934.0,10819.0,10724.0,10643.0,10663.0,Coosa,Alabama,True
19,23,"Covington County, Alabama",37765,37762,37809,38020.0,37805.0,37814.0,37760.0,37556.0,37382.0,37062.0,36953.0,37049.0,Covington,Alabama,True
20,24,"Crenshaw County, Alabama",13906,13893,13869,13894.0,13915.0,13847.0,13851.0,13850.0,13916.0,13858.0,13825.0,13772.0,Crenshaw,Alabama,True
21,25,"Cullman County, Alabama",80406,80406,80456,80410.0,80279.0,80690.0,81068.0,81761.0,82450.0,82867.0,83418.0,83768.0,Cullman,Alabama,True
22,26,"Dale County, Alabama",50251,50251,50394,50122.0,50289.0,49771.0,49414.0,49365.0,49362.0,49342.0,49143.0,49172.0,Dale,Alabama,True
23,27,"Dallas County, Alabama",43820,43813,43854,43251.0,42789.0,41976.0,41554.0,40936.0,40080.0,39238.0,38294.0,37196.0,Dallas,Alabama,True
24,28,"DeKalb County, Alabama",71109,71120,71163,71365.0,70944.0,70912.0,70993.0,71087.0,71104.0,71437.0,71407.0,71513.0,DeKalb,Alabama,True
25,29,"Elmore County, Alabama",79303,79272,79552,79993.0,80193.0,80536.0,80538.0,80872.0,81204.0,81422.0,81011.0,81209.0,Elmore,Alabama,True
26,30,"Escambia County, Alabama",38319,38320,38345,38204.0,38023.0,37765.0,37735.0,37661.0,37475.0,36993.0,36524.0,36633.0,Escambia,Alabama,True
